"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - tương ứng với tất cả; 'xyz*' - tương ứng với bất cứ mã nào bắt đầu bằng 'xyz' và không dài quá %d."
"-- Please Select --","-- Please Select --"
"Add New Class","Add New Class"
"Add New Tax Rate","Thêm mức thuế mới"
"Add New Tax Rule","Thêm quy định thuế mới"
"After Discount","Sau khi giảm giá"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this rate.","An error occurred while saving this rate."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"Before Discount","Before Discount"
"CSV","CSV"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Class Name","Tên nhóm"
"Code","Code"
"Country","Country"
"County","County"
"Custom price if available","Custom price if available"
"Customer Tax Class","Nhóm Thuế Của Người Dùng"
"Customer Tax Class Information","Thông Tin Về Nhóm Thuế Của Người Dùng"
"Customer Tax Classes","Các Nhóm Thuế Của Người Dùng"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Xóa Nhóm"
"Delete Rate","Xóa Mức Thuế"
"Delete Rule","Xóa Quy Định"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Chỉnh Sửa Nhóm"
"Edit Class '%s'","Chỉnh Sửa Nhóm '%s'"
"Edit Rule","Edit Rule"
"Edit Tax Rate","Chỉnh sửa mức thuế"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Excluding Tax","Excluding Tax"
"Export Tax Rates","Export Mức thuế"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Excl. Tax","Tổng tiền không bao gồm thuế"
"Grand Total Incl. Tax","Tổng tiền đã bao gồm thuế"
"Import / Export Tax Rates","Import / Export Mức Thuế"
"Import Tax Rates","Import Mức Thuế"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Quản lý về mức thuế"
"Manage Tax Rules","Quản lý quy định về thuế"
"Manage Tax Zones & Rates","Quản lý mức thuế"
"Name","Name"
"New Class","New Class"
"New Rule","New Rule"
"New Tax Rate","Mức thuế mới"
"No","Không"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Creditmemos Display Settings","Orders, Invoices, Creditmemos Display Settings"
"Original price only","Original price only"
"Price Display Settings","Price Display Settings"
"Priority","Độ ưu tiên"
"Product Tax Class","Nhóm Thuế Của Sản Phẩm"
"Product Tax Class Information","Thông Tin Về Nhóm Thuế Sản Phẩm"
